
ID	Entity	Description	Function
224	RMED	Ring motor neuron	Suggested to be the pioneers of the nerve ring (Antebi et al., 1997).
225	RMEL	Ring motor neuron	Suggested to be the pioneers of the nerve ring (Antebi et al., 1997).
226	RMER	Ring motor neuron	Suggested to be the pioneers of the nerve ring (Antebi et al., 1997).
227	RMEV	Ring motor neuron	Suggested to be the pioneers of the nerve ring (Antebi et al., 1997).
228	RMFL	Ring motor neuron/interneuron	 
229	RMFR	Ring motor neuron/interneuron	 
230	RMGL	Ring interneuron	 
231	RMGR	Ring interneuron	 
232	RMHL	Ring motor neuron/interneuron	 
233	RMHR	Ring motor neuron/interneuron	 
234	SAADL	Ring interneuron, anteriorly projecting process th	 
235	SAADR	Ring interneuron, anteriorly projecting process th	 
236	SAAVL	Ring interneuron, anteriorly projecting process th	 
237	SAAVR	Ring interneuron, anteriorly projecting process th	 
238	SABD	Ring interneuron, anteriorly projecting process th	 
239	SABVL	Ring interneuron, anteriorly projecting process th	 
240	SABVR	Ring interneuron, anteriorly projecting process th	 
241	SDQL	Post. lateral interneuron, process projects into r	 
242	SDQR	Ant. lateral interneuron, process projects into ri	 
243	SIADL	Receive a few synapses in the ring, have posterior	 
244	SIADR	Receive a few synapses in the ring, have posterior	 
245	SIAVL	Receive a few synapses in the ring, have posterior	 
246	SIAVR	Receive a few synapses in the ring, have posterior	 
247	SIBDL	Similar to SIA	 
248	SIBDR	Similar to SIA	 
249	SIBVL	Similar to SIA	 
250	SIBVR	Similar to SIA	 
251	SMBDL	Ring motor neuron/interneuron, has a posteriorly d	Functions in locomotion: After animals are removed from bacterial food, they initiate a local search behavior consisting of reversals and deep omega-shaped turns. This is followed by dispersal ~30 min later as reversal and turns are suppressed. Local search behavior is triggered by AWC olfactory neurons, ASK gustatory neurons, and AIB interneurons while dispersal is promoted by ASI gustatory neurons and AIY interneurons (Gray et al., 2005). Downstream of AIB and AIY, motor neurons define specific aspects of reversal and turn frequency, amplitude, and directionality. SMD motor neurons define the steep amplitude of omega turns, RIV motor neurons specify the ventral bias of turns that follow a reversal, and SMB motor neurons set the amplitude of sinusoidal movement.
252	SMBDR	Ring motor neuron/interneuron, has a posteriorly d	Functions in locomotion: After animals are removed from bacterial food, they initiate a local search behavior consisting of reversals and deep omega-shaped turns. This is followed by dispersal ~30 min later as reversal and turns are suppressed. Local search behavior is triggered by AWC olfactory neurons, ASK gustatory neurons, and AIB interneurons while dispersal is promoted by ASI gustatory neurons and AIY interneurons (Gray et al., 2005). Downstream of AIB and AIY, motor neurons define specific aspects of reversal and turn frequency, amplitude, and directionality. SMD motor neurons define the steep amplitude of omega turns, RIV motor neurons specify the ventral bias of turns that follow a reversal, and SMB motor neurons set the amplitude of sinusoidal movement.
253	SMBVL	Ring motor neuron/interneuron, has a posteriorly d	Functions in locomotion: After animals are removed from bacterial food, they initiate a local search behavior consisting of reversals and deep omega-shaped turns. This is followed by dispersal ~30 min later as reversal and turns are suppressed. Local search behavior is triggered by AWC olfactory neurons, ASK gustatory neurons, and AIB interneurons while dispersal is promoted by ASI gustatory neurons and AIY interneurons (Gray et al., 2005). Downstream of AIB and AIY, motor neurons define specific aspects of reversal and turn frequency, amplitude, and directionality. SMD motor neurons define the steep amplitude of omega turns, RIV motor neurons specify the ventral bias of turns that follow a reversal, and SMB motor neurons set the amplitude of sinusoidal movement.
254	SMBVR	Ring motor neuron/interneuron, has a posteriorly d	Functions in locomotion: After animals are removed from bacterial food, they initiate a local search behavior consisting of reversals and deep omega-shaped turns. This is followed by dispersal ~30 min later as reversal and turns are suppressed. Local search behavior is triggered by AWC olfactory neurons, ASK gustatory neurons, and AIB interneurons while dispersal is promoted by ASI gustatory neurons and AIY interneurons (Gray et al., 2005). Downstream of AIB and AIY, motor neurons define specific aspects of reversal and turn frequency, amplitude, and directionality. SMD motor neurons define the steep amplitude of omega turns, RIV motor neurons specify the ventral bias of turns that follow a reversal, and SMB motor neurons set the amplitude of sinusoidal movement.
255	SMDDL	Ring motor neuron/interneuron, has a posteriorly d	 
256	SMDDR	Ring motor neuron/interneuron, has a posteriorly d	 
257	SMDVL	Ring motor neuron/interneuron, has a posteriorly d	 
258	SMDVR	Ring motor neuron/interneuron, has a posteriorly d	 
259	URADL	Ring motor neuron	 
260	URADR	Ring motor neuron	 
261	URAVL	Ring motor neuron	 
262	URAVR	Ring motor neuron	 
263	URBL	Neuron, presynaptic in ring, ending in head	 
264	URBR	Neuron, presynaptic in ring, ending in head	 
265	URXL	Nonciliated endings in head, associated with CEPD	Function in aerotaxis: When placed in an O2 gradient, C. elegans shows a strong behavioral preference for ~5–10% (intermediate) O2 levels and avoids both hypoxia (<7%) and hyperoxia (21%). Animals navigate the O2 gradients by O2-induced changes in locomotion speed, reversal and turning behavior (Cheung et al., 2005; Gray et al., 2004). This preference for intermediate O2 levels (Gray et al., 2004), may work to allow oxidative metabolism but avoid oxidative stress (Lee and Atkinson, 1977). The intermediate O2 preference also promotes aggregation behavior, possibly since aggregating C. elegans locally deplete O2 to preferred levels (Gray et al., 2004; Rogers et al., 2006). The rise in O2 levels detected by animals leaving a group induces reversal (backing) and turning. Conversely, the fall in O2 encountered when entering a group suppresses reversal, turning, and rapid locomotion, allowing the animal to stay with the group. Soluble guanylate cyclase (sGC, e.g. GCY-35 and GCY-36)-expressing oxygen-sensing neurons (URX, AQR, PQR, SDQ, BDU, ALN, and PLN) mediate the avoidance of high O2 levels (Zimmer et al, 2009). URX appears to be the most important member of this group, since its activity is uniquely important for aggregation (Coates and de Bono, 2002), while for aerotactic behavior in an O2 gradient, URX is redundant with other sGC-expressing neurons (Chang et al., 2006). The locations of URX in the head and PQR in the tail facilitate high O2 avoidance by the animal accelerating forward without changing direction of movement when its tail/PQR encounters high O2 and by reversal and turning when its head/URX encounters high O2 (Busch et al., 2012). Two post-synaptic targets of URX, AUA and RMG, seem to be involved in this O2-induced behavioral response.
266	URXR	Nonciliated endings in head, associated with CEPD	Function in aerotaxis: When placed in an O2 gradient, C. elegans shows a strong behavioral preference for ~5–10% (intermediate) O2 levels and avoids both hypoxia (<7%) and hyperoxia (21%). Animals navigate the O2 gradients by O2-induced changes in locomotion speed, reversal and turning behavior (Cheung et al., 2005; Gray et al., 2004). This preference for intermediate O2 levels (Gray et al., 2004), may work to allow oxidative metabolism but avoid oxidative stress (Lee and Atkinson, 1977). The intermediate O2 preference also promotes aggregation behavior, possibly since aggregating C. elegans locally deplete O2 to preferred levels (Gray et al., 2004; Rogers et al., 2006). The rise in O2 levels detected by animals leaving a group induces reversal (backing) and turning. Conversely, the fall in O2 encountered when entering a group suppresses reversal, turning, and rapid locomotion, allowing the animal to stay with the group. Soluble guanylate cyclase (sGC, e.g. GCY-35 and GCY-36)-expressing oxygen-sensing neurons (URX, AQR, PQR, SDQ, BDU, ALN, and PLN) mediate the avoidance of high O2 levels (Zimmer et al, 2009). URX appears to be the most important member of this group, since its activity is uniquely important for aggregation (Coates and de Bono, 2002), while for aerotactic behavior in an O2 gradient, URX is redundant with other sGC-expressing neurons (Chang et al., 2006). The locations of URX in the head and PQR in the tail facilitate high O2 avoidance by the animal accelerating forward without changing direction of movement when its tail/PQR encounters high O2 and by reversal and turning when its head/URX encounters high O2 (Busch et al., 2012). Two post-synaptic targets of URX, AUA and RMG, seem to be involved in this O2-induced behavioral response.
267	URYDL	Neuron, presynaptic in ring, ending in head	Expresses (inconsistently) the serotonin receptor, SER-1 (Dernovici et al, 2007; Carnell et al, 2005.)
268	URYDR	Neuron, presynaptic in ring, ending in head	Expresses (inconsistently) the serotonin receptor, SER-1 (Dernovici et al, 2007; Carnell et al, 2005.)
269	URYVL	Neuron, presynaptic in ring, ending in head	Expresses (inconsistently) the serotonin receptor, SER-1 (Dernovici et al, 2007; Carnell et al, 2005.)
270	URYVR	Neuron, presynaptic in ring, ending in head	Expresses (inconsistently) the serotonin receptor, SER-1 (Dernovici et al, 2007; Carnell et al, 2005.)
271	VA1	Ventral cord motor neuron, innervates vent. body m	 
272	VA2	Ventral cord motor neuron, innervates vent. body m	 
273	VA3	Ventral cord motor neuron, innervates vent. body m	 
274	VA4	Ventral cord motor neuron, innervates vent. body m	 
275	VA5	Ventral cord motor neuron, innervates vent. body m	 
276	VA6	Ventral cord motor neuron, innervates vent. body m	 
277	VA7	Ventral cord motor neuron, innervates vent. body m	 
278	VA8	Ventral cord motor neuron, innervates vent. body m	 
279	VA9	Ventral cord motor neuron, innervates vent. body m	 
280	VA10	Ventral cord motor neuron, innervates vent. body m	 
281	VA11	Ventral cord motor neuron, innervates vent. body m	 
282	VA12	Ventral cord motor neuron, innervates vent. body m	 
283	VB1	Ventral cord motor neuron, innervates vent. body m	 
284	VB2	Ventral cord motor neuron, innervates vent. body m	 
285	VB3	Ventral cord motor neuron, innervates vent. body m	 
286	VB4	Ventral cord motor neuron, innervates vent. body m	 
287	VB5	Ventral cord motor neuron, innervates vent. body m	 
288	VB6	Ventral cord motor neuron, innervates vent. body m	 
289	VB7	Ventral cord motor neuron, innervates vent. body m	 
290	VB8	Ventral cord motor neuron, innervates vent. body m	 
291	VB9	Ventral cord motor neuron, innervates vent. body m	 
292	VB10	Ventral cord motor neuron, innervates vent. body m	 
293	VB11	Ventral cord motor neuron, innervates vent. body m	 
294	VC1	Hermaphrodite specific ventral cord motor neurons.	Acetylcholine released from the VC neurons inhibits egg-laying behavior. This may be caused by inhibition of presynaptic neurotransmitter release by HSN neurons following the activation of the G-protein- coupled acetylcholine receptor 2 (GAR-2) signaling (Bany et al., 2003). VC4 and VC5 can also induce the active phase of egg-laying by releasing serotonin (Waggoner et al., 1998).
295	VC2	Hermaphrodite specific ventral cord motor neurons.	Acetylcholine released from the VC neurons inhibits egg-laying behavior. This may be caused by inhibition of presynaptic neurotransmitter release by HSN neurons following the activation of the G-protein- coupled acetylcholine receptor 2 (GAR-2) signaling (Bany et al., 2003). VC4 and VC5 can also induce the active phase of egg-laying by releasing serotonin (Waggoner et al., 1998).
296	VC3	Hermaphrodite specific ventral cord motor neurons.	Acetylcholine released from the VC neurons inhibits egg-laying behavior. This may be caused by inhibition of presynaptic neurotransmitter release by HSN neurons following the activation of the G-protein- coupled acetylcholine receptor 2 (GAR-2) signaling (Bany et al., 2003). VC4 and VC5 can also induce the active phase of egg-laying by releasing serotonin (Waggoner et al., 1998).
297	VC4	Hermaphrodite specific ventral cord motor neurons.	Acetylcholine released from the VC neurons inhibits egg-laying behavior. This may be caused by inhibition of presynaptic neurotransmitter release by HSN neurons following the activation of the G-protein- coupled acetylcholine receptor 2 (GAR-2) signaling (Bany et al., 2003). VC4 and VC5 can also induce the active phase of egg-laying by releasing serotonin (Waggoner et al., 1998).
298	VC5	Hermaphrodite specific ventral cord motor neurons.	Acetylcholine released from the VC neurons inhibits egg-laying behavior. This may be caused by inhibition of presynaptic neurotransmitter release by HSN neurons following the activation of the G-protein- coupled acetylcholine receptor 2 (GAR-2) signaling (Bany et al., 2003). VC4 and VC5 can also induce the active phase of egg-laying by releasing serotonin (Waggoner et al., 1998).
299	VC6	Hermaphrodite specific ventral cord motor neurons.	Acetylcholine released from the VC neurons inhibits egg-laying behavior. This may be caused by inhibition of presynaptic neurotransmitter release by HSN neurons following the activation of the G-protein- coupled acetylcholine receptor 2 (GAR-2) signaling (Bany et al., 2003). VC4 and VC5 can also induce the active phase of egg-laying by releasing serotonin (Waggoner et al., 1998).
300	VD1	Ventral cord motor neuron, innervates vent body mu	 
301	VD2	Ventral cord motor neuron, innervates vent body mu	 
302	VD3	Ventral cord motor neuron, innervates vent body mu	 
303	VD4	Ventral cord motor neuron, innervates vent body mu	 
304	VD5	Ventral cord motor neuron, innervates vent body mu	 
305	VD6	Ventral cord motor neuron, innervates vent body mu	 
306	VD7	Ventral cord motor neuron, innervates vent body mu	 
307	VD8	Ventralcord motor neuron, innervates vent body mus	 
308	VD9	Ventral cord motor neuron, innervates vent body mu	 
309	VD10	Ventral cord motor neuron, innervates vent body mu	 
310	VD11	Ventral cord motor neuron, innervates vent body mu	 
311	VD12	Ventral cord motor neuron, innervates vent body mu	 
312	VD13	Ventral cord motor neuron, innervates vent body mu	 
313	Neurotransmitter	 	 
314	Glutamate	 	 
315	FLP-8	a FMRFamide-like peptide. Sequence: F31F6.4 Other name: CELE_F31F6.4 Type: protein coding Gene class: flp Clone: F31F6 Parent seq: F31F6 Named by: Chris Li WormBase ID: WBGene00001451	flp-8 encodes three copies of a FMRFamide-related short peptide neurotransmitter; although the FLP-8 peptide can increase pharyngeal action potential frequency, loss of FLP-8 function does not result in a mutant phenotype, suggesting that FLP-8 may function redundantly with other FMRFamide-like peptides in the nervous system; FLP-8 expression is detected in embryos and larval stages, but not in adults; FLP-8 is expressed in the sensory neurons ASEL/R, URXL/R, and PVM.
316	Dopamine	 	 
317	Serotonin	FMRFamide-like peptide	 
318	INS-1	ins-1 encodes an insulin-like peptide orthologous to human insulin (INS; OMIM:176730, mutated in hyperproinsulinemia and diabetes mellitus type II); Sequence: F13B12.5 Other names: ILP1, aho-2, CELE_F13B12.5 Type: protein coding Gene class: ins Clone: F13B12 Parent seq: F13B12 Named by: Jenny Kopczynski WormBase ID: WBGene00002084	INS-1 is one of 38 insulin-like peptides in C. elegans and when overexpressed can antagonize insulin-like signaling mediated by DAF-2/IR leading to arrest at the dauer larval stage; loss of INS-1, however, does not result in a dauer phenotype suggesting that INS-1 functions redundantly with other insulin-like peptides to regulate reproductive growth and lifespan; a mutation in ins-1 does, however, show severe defects in salt chemotaxis learning; INS-1 is expressed in the amphid sensory neurons ASI and ASJ that regulate dauer arrest, the nerve ring, the intestine, vulval muscles, and other neurons.
319	NLP-3	neuropeptide-like peptide. Sequence: F48C11.3 Other name: CELE_F48C11.3 Type: protein coding Gene class: nlp Clone: F48C11 Parent seq: F48C11 Named by: Anne Hart WormBase ID: WBGene00003741	nlp-3 encodes a neuropeptide-like protein of the GFxGF family with similarity to orcokinins, highly conserved peptides native to crustaceans that enhance hindgut contractions; NLP-3 is expressed in neurons in the head, pharynx, and vulva, and in the intestine; the precise role of NLP-3 in nervous system function and development is not yet clear.
320	Acetylcholine	 	 
321	FLP-1	FMRFamide-like peptide Sequence: F23B2.5 Other name: CELE_F23B2.5 Type: protein coding Gene class: flp Clone: F23B2 Parent seq: F23B2 Named by: Chris Li WormBase ID: WBGene00001444	flp-1 can encode up to seven distinct, yet highly similar, FMRFamide-related peptides (FaRPs), small neuromodulatory peptides that are characterized by a C-terminal Arg-Phe-amide motif; in C. elegans, FLP-1 peptides are required for regulation of several behaviors, including well-coordinated, sinusoidal movement and the transition between active and inactive states of egg-laying; receptors for the FLP-1 peptides have not yet been identified, but genetic studies indicate that FLP-1 peptides may act through G-protein coupled receptors; flp-1 mRNAs are detected at all developmental stages, and a FLP-1 translational reporter fusion detects expression in the anteriorly positioned neurons AVK, AVA, AVE, RIG, RMG, AIY, AIA, and M5.
322	FLP-18	FMRFamide-like peptide. Sequence: Y48D7A.2 Other name: CELE_Y48D7A.2 Type: protein coding Gene class: flp Clone: Y48D7A Parent seq: SUPERLINK_RWXL Named by: Chris Li WormBase ID: WBGene00001461	flp-18 encodes the only FMRFamide-related neuropeptide (FaRP) encoded by the C. elegans genome, other than flp-21, that activates the solitary (215V) form of NPR-1 in Xenopus oocytes; in addition, FLP-18 can activated the social (215F) form of NPR-1 in pharyngeal assays; FLP-18 is expressed in the interneurons AVA, AIY and RIG, the motor neuron RIM and the pharyngeal neurons M2 and M3.
323	FLP-7	FMRFamide-like peptide. Sequence: F49E10.3 Other name: CELE_F49E10.3 Type: protein coding Gene class: flp Clone: F49E10 Parent seq: F49E10 amed by: Chris Li WormBase ID: WBGene00001450	flp-7 encodes an MVRFamide-containing peptide that, upon injection into A. suum, produces paralysis and loss of locomotory waveforms, increased body length, and decreased cAMP production.
324	VGluT	Vesicular glutamate transporter.	 
325	FLP-4	FMRFamide-like neuropeptide. Sequence: C18D1.3 Other name: CELE_C18D1.3 Type: protein coding Gene class: flp Clone: C18D1 Parent seq: C18D1 Named by: Chris Li WormBase ID: WBGene00001447	 
326	FLP-21	FMRFamide-like neuropeptide. Sequence: C26F1.10 Other name: CELE_C26F1.10 Type: protein coding Gene class: flp Clone: C26F1 Parent seq: C26F1 Named by: Chris Li WormBase ID: WBGene00001464	flp-21 encodes a single FMRFamide-related neuropeptide (FaRP) that serves as a ligand for NPR-1, a G protein-coupled receptor that regulates social versus solitary feeding behavior in several Caenorhabditis species; genetic analysis suggests that FLP-21 acts through NPR-1 to inhibit social feeding behavior; FLP-21 is expressed in the ADL, ASE and ASH sensory neurons, the URA motor neurons, the MC, M2 and M4 pharyngeal neurons, and the intestine; flp-21 encodes the only FMRFamide-related neuropeptide (FaRP) encoded by the C. elegans genome that activates both the social (215F) and the solitary (215V) forms of NPR-1 in both Xenopus oocytes and pharyngeal assays.
327	NLP-7	neuropeptide-like peptide	 
328	NLP-8	neuropeptide-like peptide	 
329	NLP-10	neuropeptide-like peptide	 
330	FLP-20	FMRFamide-like neuropeptide	 
331	EAT-4	 	 
332	NLP-14	neuropeptide-like peptide	 
333	NLP-15	neuropeptide-like peptide	 
334	NLP-1	neuropeptide-like peptide	 
335	NLP-5	neuropeptide-like peptide	 
336	NLP-6	neuropeptide-like peptide	 
337	NLP-9	neuropeptide-like peptide	 
338	NLP-18	neuropeptide-like peptide	 
339	NLP-24	neuropeptide-like peptide	 
340	NLP-27	neuropeptide-like peptide	 
341	GABA	 	 
342	Monoamine	 	 
343	CAT-1	 	 
344	TH	 	 
345	CAT-2	 	 
346	TPH-1	tryptophan hydroxylase	 
347	FLP-5	FMRFamide-like neuropeptide	 
348	NLP-13	neuropeptide-like peptide	 
349	NLP-19	neuropeptide-like peptide	 
350	NLP-11	neuropeptide-like peptide	 
351	Octopamine	 	 
352	ChAT	 	 
353	VAChT	Vesicular acetylcholine transporter	 
354	Neuropeptide	Neuropeptides are small protein-like molecules (peptides) used by neurons to communicate with each other.	 
355	Innexin	An innexin is a member of a family of proteins that create gap junctions in invertebrates.	 
356	send	A neuron connects to another neuron	 
357	gap junction	A gap junction or nexus is a specialized intercellular connection between a multitude of animal cell-types.[1][2][3] It directly connects the cytoplasm of two cells, which allows various molecules and ions to pass freely between cells.[	 
358	INX-4	Innexin	 
359	INX-19	Innexin	 
360	UNC-9	Innexin	 
361	Receptor	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
362	ACR-14	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
363	ACR-16	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
364	AEX-2	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
365	AVR-14	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
366	AVR-15	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
367	C50F7.1	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
368	CKR-2	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
369	DAF-11	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
370	DEG-3	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
371	DEL-1	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
372	DES-2	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
373	DOP-1	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
374	DOP-2	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
375	EXP-1	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
376	GAR-2	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
377	GCY-1	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
378	GCY-12	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
379	GCY-18	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
380	GCY-21	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
381	GCY-23	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
382	GCY-25	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
383	GCY-28	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
384	GCY-29	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
385	GCY-32	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
386	GCY-33	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
387	GCY-34	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
388	GCY-35	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
389	GCY-36	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
390	GCY-37	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
391	GCY-5	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
392	GCY-6	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
393	GCY-7	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
394	GCY-8	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
395	GGR-1	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
396	GGR-2	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
397	GGR-3	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
398	GLC-3	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
399	GLR-1	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
400	GLR-2	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
401	GLR-4	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
402	GLR-5	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
403	GLR-7	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
404	GLR-8	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
405	LGC-38	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
406	MEC-10	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
407	MEC-2	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
408	MEC-4	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
409	MEC-6	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
410	MEC-9	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
411	MGL-1	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
412	MGL-3	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
413	MOD-1	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
414	NLP-11	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
415	NMR-1	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
416	NMR-2	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
417	NPR-1	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
418	NPR-11	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
419	NPR-14	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
420	NPR-5	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
421	OCR-1	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
422	OCR-2	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
423	ODR-10	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
424	OSM-9	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
425	SCD-2	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
426	SER-2	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
427	SER-4	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
428	SER7b	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
429	SRA-10	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
430	SRA-11	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
431	SRA-6	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
432	SRA-7	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
433	SRA-9	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
434	SRB-6	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
435	SRD-1	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
436	SRE-1	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
437	SRG-13	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
438	SRG-2	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
439	SRG-8	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
440	SRH-132	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
441	SRH-220	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
442	SRI-51	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
443	SRO-1	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
444	STR-1	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
445	STR-2	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
446	STR-3	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
447	TYRA-3	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
448	UNC-8	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
449	SER-1	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
450	MGL-2	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
451	ACR-13	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
452	OCR-4	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
453	GAR-1	A receptor is a molecule usually found on the surface of a cell, that receives chemical signals from outside the cell.	 
1403	UNC-7	Innexin	 
1404	INX-1	Innexin	 
1405	INX-17	Innexin	 
1406	INX-18	Innexin	 
1407	INX-7	Innexin	 
1408	INX-8	Innexin	 
1409	MANAL	Muscle	 
1410	MDL01	Muscle	 
1411	MDL02	Muscle	 
1412	MDL03	Muscle	 
1413	MDL04	Muscle	 
1414	MDL05	Muscle	 
1415	MDL06	Muscle	 
1416	MDL07	Muscle	 
1417	MDL08	Muscle	 
1418	MDL09	Muscle	 
1419	MDL10	Muscle	 
1420	MDL11	Muscle	 
1421	MDL12	Muscle	 
1422	MDL13	Muscle	 
1423	MDL14	Muscle	 
1424	MDL15	Muscle	 
1425	MDL16	Muscle	 
1426	MDL17	Muscle	 
1427	MDL18	Muscle	 
1428	MDL19	Muscle	 
